序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2020三季报,2020半年报,2020一季报,2019年报,2019三季报,2019半年报,2019一季报,2018年报,2018三季报,2018半年报,2018一季报,2017年报,2017三季报,2017半年报,2017一季报,2016年报,2016三季报,2016半年报,2016一季报,2015年报,2015三季报,2015半年报,2015一季报,2014年报,2014三季报,2014半年报,2014一季报,2013年报,2013三季报,2013半年报,2013一季报,2012年报,2012三季报,2012半年报,2012一季报,2011年报,2011三季报,2011半年报,2011一季报,2010年报,2010三季报,2010半年报,2010一季报,2009年报,2009三季报,2009半年报,2009一季报,2008年报,2008三季报,2008半年报,2008一季报,2007年报,2007三季报,2007半年报,2007一季报,2006年报,2006三季报,2006半年报,2006一季报,2005年报,2005三季报,2005半年报,2005一季报,2004年报,2004三季报,2004半年报,2004一季报,2003年报,2003一季报
23,CPaidPolDiv,支付保单红利的现金,支付保单红利的现金,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CPaidToForEmpl,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,2,0,金额类,,2309568469.24,1525567930.51,725778356.16,3561463812.22,2053755761.55,1410316615.42,675647434.07,3347001685.68,1941064090.39,1284868371.99,595752171.92,3138575662.67,1833073525.09,1329862989.0,588001190.51,2803197556.38,1562212009.42,1004246972.8,547250833.48,2610978872.63,1218398673.0,717031944.47,291965925.5,1681923377.15,983296216.09,660786646.03,308630145.17,1550359853.36,952661858.6,627986001.12,289094948.93,1781023829.38,1095706820.94,749486687.96,343400998.17,1733924945.78,1107582397.86,733430262.03,379713005.08,1608108001.55,947653424.13,639224516.14,304623374.81,1540726214.27,871153430.44,613901309.46,274397530.91,1388183797.04,825279964.07,565732635.66,248469644.34,1241061196.53,718258690.95,484353416.41,220531540.7,1070561095.74,635266545.34,429218340.94,192699514.85,903901445.38,462741288.83,366807532.48,168686863.7,772790038.89,428663709.32,317675840.7,143671181.71,678161629.01,465333142.72,202260788.87,88825568.37,405584819.64,264148570.77,184856505.61,94040347.33,300035388.08,197882977.12,134325262.07,76517953.83,329745283.26,214208294.35,142489953.54,81703395.08,336086953.13,224396411.83,142268565.0,58633253.34,122664776.44,26933527.21
25,CPaidForTaxes,支付的各项税费,支付的各项税费,2,0,金额类,,13080956214.27,7158553080.0,3641864480.58,17521925470.26,12286617777.88,6261595416.16,2985805152.23,14759828566.58,9866017081.36,5639269956.1,2541210174.94,16790687263.22,12840566597.61,8166521164.44,4356759172.32,13123193534.72,9288982703.06,6027235539.31,3793715124.56,12180759493.47,9194189100.27,4654155609.01,2114858813.76,12971173075.6,9292632053.04,5128398357.99,2865668040.37,13430690798.93,10011360055.81,5556537109.35,2965159482.64,13288208533.14,9711079547.1,5220978615.9,2643497714.79,13262996901.53,10093770833.95,4952467160.67,2537855641.36,12704486331.29,8118956360.74,4928021121.53,2075899800.17,7703356459.13,5424116585.92,2585449147.59,1150756576.69,7209874090.28,5189657248.63,2780959200.11,1542650759.2,7210856037.96,4805957083.6,1951653688.26,893520299.77,6615039959.22,4624782412.21,2609407872.03,1104724451.67,6268293002.88,4020666858.99,1663746456.7,664922380.99,3308304203.82,2442772270.3,1584133145.78,733205777.06,3161812526.29,2241827790.92,1601324991.8,1019158963.77,3800943414.91,3066439641.0,1710386518.84,685462946.79,3360689111.46,2081316022.8,1496588895.33,877989634.15,2918543289.44,1973322346.26,1356387680.41,816729859.05,1997349953.0,1354738368.82,924804287.72,529274057.81,924560265.01,192726645.58
26,CPaidForOthOpA,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,2,0,金额类,,824774590.1,548237479.1,238633962.91,1458313335.4,752053574.86,542084600.58,180991163.84,1489558869.86,726862270.96,368770612.54,329183602.78,1138439490.2,1384305178.41,712218666.09,266419230.06,808182134.6,771720063.86,230295658.18,94428432.6,900720578.57,562954266.42,383481449.37,66326014.92,530729174.77,358227834.16,219350406.42,157747388.25,707351145.43,571578765.02,498173144.72,21787640.73,363873260.58,135970854.55,82442523.1,37265837.42,236485430.72,100107445.21,65107014.55,178461504.24,358389943.92,124533973.95,111748791.64,9824825.32,150510889.07,346996855.91,163725772.95,149725855.62,192397380.05,286710238.92,197797481.58,52894726.56,356910962.1,402754051.77,133358423.18,51827241.12,1100829222.86,635690825.0,247054388.99,128569345.55,249867276.13,260661030.88,148987556.49,71341249.01,215229898.46,126772971.51,63546965.87,33070110.5,157738788.69,113270925.3,47473846.25,16005840.28,153263718.39,76502319.91,55464654.08,16697067.7,109598437.51,54165003.3,38484871.0,7903442.89,115141542.02,74077678.91,37939551.0,15250512.57,62323936.05,50580233.52,29690298.51,7777130.97,53984514.01,8390457.67
27,specOCOF,经营活动现金流出的特殊项目,经营活动现金流出的特殊项目,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AOCOF,经营活动现金流出的差错金额,经营活动现金流出的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,COutfOperateA,经营活动现金流出小计,经营活动现金流出小计,2,0,金额类,,26423036622.56,15647848122.67,7285799008.7,35851434501.65,24073151053.59,13437411609.25,6385609114.62,32109696168.9,20759985992.81,12225687678.53,5580914984.31,31282640506.72,22380355624.91,13899595770.31,7235479015.21,27829963938.92,18763743423.62,12189487281.88,7446662823.65,25191895906.94,15804447669.19,7811335688.44,2903269829.87,20154761306.67,13795512267.13,7398416975.65,3909959963.57,21103646246.78,14803985105.97,8258168097.11,4153603679.26,21020436262.22,14244011250.95,7854013778.09,3697049565.09,21371669004.53,15394424272.13,7980743785.58,3894411284.61,19401242019.46,11757910318.06,7436928363.67,2845941255.58,11786377016.41,8071210861.42,4447608930.5,2029303158.29,10910248506.6,7621847476.96,4167890259.82,2202153930.39,11244236092.46,7609152904.45,3249534107.53,1505466489.53,11007172477.24,7476258120.35,4250122535.11,1785002553.66,9914142994.59,6938982446.73,3750361016.7,1135633410.01,17414980434.69,11339907608.94,5336990790.91,2680180908.09,17119112186.21,9332216057.31,4482396561.41,2011766233.0,12930055854.39,7823549240.04,3727366278.76,1158341640.51,10608898842.54,6585126478.46,3714158047.3,1761548828.76,9960577476.94,6028296746.78,3387002850.44,1823015179.37,6379593216.75,3664024043.39,1817838879.16,765455308.27,1869256997.3,254360017.38
30,ANOCF,经营活动现金流量净额的差错金额,经营活动现金流量净额的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NCFOperateA,经营活动产生的现金流量净额,经营活动产生的现金流量净额,2,0,金额类,,42895214451.84,23991186511.61,11847251953.1,59648468284.22,47648323585.18,23021419364.46,12114272426.38,64749448288.66,36384305344.99,25085920839.01,7577578299.69,43476502138.14,35341133122.12,17788141905.58,4249192117.16,35732461733.26,21606191288.58,9543744115.4,3304210279.5,41036864400.4,27619640384.88,12066396464.23,5585846887.37,36464419570.28,26224598003.86,13828006521.28,5217312698.77,39736666414.81,28090292854.7,13086211855.29,6042292535.27,39693165066.49,27664833478.86,13720314383.21,5735602903.82,38989831194.3,27722957240.84,13928253189.55,6065200015.32,39793140082.49,27725900114.37,14225972694.75,2126306253.58,21298893169.41,13672075894.97,5878794902.9,2356495357.59,18091418933.83,13724543408.61,5871990569.4,2177245661.17,21460796404.54,15436584169.07,7394937678.45,3158033664.16,15450031278.0,9462619216.33,5145570100.05,2573894225.12,17326002315.37,9651283241.8,4244604745.74,2416265568.91,8189220676.11,4864003106.39,3374691757.6,1212972201.01,6710473478.36,4268013360.48,2273873756.1,664756375.97,4923948726.23,2977217674.22,1837458464.31,680292001.8,4990992652.09,3210036291.34,1703099959.56,67383384.84,5445774941.37,3103433429.44,1659192757.8,2824763.26,5282769641.0,3384614360.54,1704970897.84,4430099.9,1819623144.45,76728241.86
32,CF_FR_INVEST_A,投资活动产生的现金流量,投资活动产生的现金流量,1,3,分组/标题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
