序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2020三季报,2020半年报,2020一季报,2019年报,2019三季报,2019半年报,2019一季报,2018年报,2018三季报,2018半年报,2018一季报,2017年报,2017三季报,2017半年报,2017一季报,2016年报,2016三季报,2016半年报,2016一季报,2015年报,2015三季报,2015半年报,2015一季报,2014年报,2014三季报,2014半年报,2014一季报,2013年报,2013三季报,2013半年报,2013一季报,2012年报,2012三季报,2012半年报,2012一季报,2011年报,2011三季报,2011半年报,2011一季报,2010年报,2010三季报,2010半年报,2010一季报,2009年报,2009三季报,2009半年报,2009一季报,2008年报,2008三季报,2008半年报,2008一季报,2007年报,2007三季报,2007半年报,2007一季报,2006年报,2006三季报,2006半年报,2006一季报,2005年报,2005三季报,2005半年报,2005一季报,2004年报,2004三季报,2004半年报,2004一季报,2003年报,2003一季报
68,NCFFrFinanA,筹资活动产生的现金流量净额,筹资活动产生的现金流量净额,2,0,金额类,,-32504961688.76,-15577349611.48,-7386992720.72,-50193750798.14,-43221252965.11,-17342585777.23,-9706640117.69,-54603531605.0,34441335125.69,48876542661.92,59232173770.13,-31568531116.29,-28150430854.67,-8474229300.53,-2929155559.97,-28380741024.38,-17730665003.64,-7063537583.09,-1556591778.34,-3007326032.09,6311587433.49,20593045219.33,-224125939.77,-27873589870.07,-22363467472.83,-8349041797.28,-2560938287.09,-30473257150.17,-21374522687.01,-8912278700.15,-4918186374.42,-28032513156.96,-16156913641.29,-7969971768.21,-1953755950.1,4070313128.88,14090513098.94,27725674447.04,-5101820269.63,-37839306247.24,-26555478237.37,-15366773444.92,-904677618.9,-19614522800.04,-12678959335.8,-5464019850.21,-2720975323.34,-17919320138.33,-10849925990.72,-2959281390.63,70559837.83,-19638000416.24,-13918306188.83,-6706611216.5,-4679118014.43,-8248410896.95,-8900923475.41,-6460634965.95,-25839598.69,-4618716820.05,1350330728.02,817406855.66,-4519881416.5,14924468601.55,16414969509.01,-3287126121.78,-1049952495.0,-6318902967.58,-5469519578.61,-2874388826.94,-972377796.94,8047044949.43,13044640249.7,10158320966.5,1210216190.0,-2915479064.03,-2893879746.4,-1819251426.4,-8009800.0,2578084840.79,5935467066.16,7416839961.49,4410556242.5,-1479146606.66,-1372249353.35,-1264859841.46,-155885887.5,17442149558.82,-685227788.88
69,FOREX_EFFECTS,汇率变动对现金及现金等价物的影响,汇率变动对现金及现金等价物的影响,1,3,分组/标题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,forexEffects,汇率变动对现金及现金等价物的影响,汇率变动对现金及现金等价物的影响,2,0,金额类,,7490155.47,14935975.31,-13155807.27,17079752.54,-45765014.4,15760321.47,-592154.66,27542956.08,60608767.99,77088067.93,-33496879.09,141690153.9,126314607.55,79404724.29,79367022.83,-85945498.2,-95457953.96,-55240203.54,-30162188.45,-86009125.31,-36095064.65,289029510.79,79924654.7,24080600.22,72795669.91,6086735.7,-21949692.74,96947209.7,66325415.85,45292927.17,-6310926.89,-34999823.89,-26255396.19,-44991935.78,-4236470.1,9724806.29,-5597336.99,-1047424.6,-181018.63,481494.17,307354.85,-17209.07,100464.47,-5699121.4,70186.7,64573.78,51307.5,-326970.67,-339788.73,-214699.09,-37812.51,-29813.77,81209.62,45532.71,-13207.24,-436207.76,-328207.19,-94800.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
71,othEffectCE,影响现金及现金等价物的特殊项目,影响现金及现金等价物的特殊项目,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ACE,现金及现金等价物的差错金额,现金及现金等价物的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,CASH,现金及现金等价物,现金及现金等价物,1,3,分组/标题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,NChangeInCash,现金及现金等价物净增加额,现金及现金等价物净增加额,2,0,金额类,,3757085496.38,2852873522.48,-418855729.94,-1303406115.58,-1297399138.89,1801820788.16,257006096.81,-2817073127.76,-2842144739.76,2551296306.29,92598731.36,347845318.55,-378464657.21,829131984.55,-1018066281.88,700565807.88,-394787138.13,-1455252660.02,-3607888618.95,1906272811.77,1013890268.37,614047469.26,199810067.11,1983455803.98,1091385084.06,1980196595.99,-209594306.72,134251903.22,1823345352.14,477685579.25,-846256748.78,1830475021.48,2793945823.5,2005250492.62,293225643.76,-1159873025.34,-296727893.04,1690696223.44,-76620867.53,-1055212045.09,-1066787412.91,-3245868074.49,2329963162.58,849912457.28,1186172114.96,433645532.36,-270507893.47,715660226.21,3053291263.43,2878934608.64,1153436210.95,-2207770296.72,-2215499803.56,382269810.82,-1459535386.36,1855379611.93,222568263.73,-4749661.48,2695232663.87,-213607258.05,-1239237395.21,-124254660.83,-1114929756.44,-608639254.14,1292863852.81,39197223.94,990134706.85,-261918328.46,-1177120157.36,-646469430.9,-314421087.69,275227123.49,1952154349.89,-1052546586.03,1670822060.97,1852724214.73,305011719.41,61738317.55,72745573.16,-1500777711.26,-378923076.85,-318420529.09,-475625025.65,1090500418.97,-197905008.16,199609109.22,105348303.84,-17922432.32,-729833739.48
75,NCEBegBal,加:期初现金及现金等价物余额,加:期初现金及现金等价物余额,2,0,金额类,,6521876990.51,6521876990.51,6522364192.01,7811570259.5,7793931617.97,7818249187.73,7818249187.73,10628643387.26,10628364964.92,10628364964.92,10628364964.92,10280519646.37,10280519646.37,10280519646.37,10280519646.37,9224213791.79,9224213791.79,9224213791.79,9224213791.79,7317940980.02,7317940980.02,7317940980.02,7317940980.02,5334485176.04,5334485176.04,5334485176.04,5334485176.04,5200233272.82,5200233272.82,5200233272.82,5200233272.82,3369758251.34,3369758251.34,3369758251.34,3369758251.34,4529631276.68,4529631276.68,4529631276.68,4529631276.68,5584843321.77,5585652644.12,5584843321.77,3113736735.76,2263824278.48,2263824278.48,2263824278.48,2263824278.48,1548164052.27,1548164052.27,1548164052.27,1548164052.27,3755934348.99,3755934348.99,3755934348.99,3755934348.99,1900554737.06,1900554737.06,1900554737.06,1900554737.06,2114161995.11,2114161995.11,2114161995.11,2114161995.11,2722801249.25,2722801249.25,2656412062.4,2722801249.25,2984719577.71,2984719577.71,2798395702.9,2798395702.9,2523168579.41,2523168579.41,2523168579.41,2523168579.41,670444364.68,670444364.68,670444364.68,670444364.68,2171222075.94,2171222075.94,2171222075.94,2171222075.94,1080721656.97,1080721656.97,1080721656.97,1080721656.97,1098644089.29,1098644089.29
76,othEffectCEI,影响期末现金及现金等价物余额的特殊项目,影响期末现金及现金等价物余额的特殊项目,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ACEI,期末现金及现金等价物余额的差错金额,期末现金及现金等价物余额的差错金额,2,0,金额类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,NCEEndBal,期末现金及现金等价物余额,期末现金及现金等价物余额,2,0,金额类,,10278962486.89,9374750512.99,6103508462.07,6508164143.92,6496532479.08,9620069975.89,8075255284.54,7811570259.5,7786220225.16,13179661271.21,10720963696.28,10628364964.92,9902054989.16,11109651630.92,9262453364.49,9924779599.67,8829426653.66,7768961131.77,5616325172.84,9224213791.79,8331831248.39,7931988449.28,7517751047.13,7317940980.02,6425870260.1,7314681772.03,5124890869.32,5334485176.04,7023578624.96,5677918852.07,4353976524.04,5200233272.82,6163704074.84,5375008743.96,3662983895.1,3369758251.34,4232903383.64,6220327500.12,4453010409.15,4529631276.68,4518865231.21,2338975247.28,5443699898.34,3113736735.76,3449996393.44,2697469810.84,1993316385.01,2263824278.48,4601455315.7,4427098660.91,2701600263.22,1548164052.27,1540434545.43,4138204159.81,2296398962.63,3755934348.99,2123123000.79,1895805075.58,4595787400.93,1900554737.06,874924599.9,1989907334.28,999232238.67,2114161995.11,4015665102.06,2695609286.34,3712935956.1,2722801249.25,1807599420.35,2151926272.0,2483974615.21,2798395702.9,4475322929.3,1470621993.38,4193990640.38,2523168579.41,975456084.09,732182682.23,743189937.84,670444364.68,1792298999.09,1852801546.85,1695597050.29,2171222075.94,882816648.81,1280330766.19,1186069960.81,1080721656.97,368810349.81
