序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,展示口径,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2019年报,2018年报
58,npMARgin,销售净利率,销售净利率,2,1,比例类,比例类,,32.6592,33.5213,34.2533,32.8133,35.79,35.1656,35.6389,29.7857,31.8297,33.191,32.8612,33.5545,34.9541,35.5232,37.7346,28.5672,,30.2323,,16.062,26.1775,23.1326
59,CFsgsR,销售商品提供劳务收到的现金/营业收入,销售商品提供劳务收到的现金/营业收入,2,1,比例类,比例类,,105.1331,101.708,99.0707,107.5407,107.9954,103.545,101.9772,106.7807,103.3828,107.3116,106.1835,104.8206,104.5124,99.1139,90.409,106.3203,,102.9601,,104.9597,98.2829,99.602
60,ROE,净资产收益率-摊薄,净资产收益率-摊薄,2,1,比例类,比例类,,12.9807,8.8412,4.6647,18.4518,16.2289,11.0861,5.6221,18.5787,15.1761,10.0169,5.132,23.7281,19.1604,13.1015,6.6574,14.6222,,7.296,,5.7543,13.6205,12.5447
61,ROEW,净资产收益率-加权平均,净资产收益率-加权平均,2,1,比例类,比例类,,13.01,8.9,4.78,19.36,16.43,11.27,5.79,19.55,15.45,10.16,5.25,26.0,20.15,13.7,6.89,15.36,,7.48,,5.66,14.06,13.13
62,ROA,总资产报酬率,总资产报酬率,2,1,比例类,比例类,,9.3516,6.3987,3.3906,13.3841,11.1928,7.6641,3.8554,12.8283,10.0212,6.6125,3.3974,16.5163,12.635,8.4252,4.2573,9.3255,,4.5117,,3.3747,8.4544,
63,ROIC,投入资本回报率,投入资本回报率,2,1,比例类,比例类,,12.127,8.1719,4.3004,17.0302,14.882,10.0308,4.9324,16.5178,13.2266,8.6553,4.3352,21.4155,16.8298,11.3552,5.5389,12.3768,,6.0081,,4.8189,11.1133,
64,asseTLiabRatio,资产负债率,资产负债率,2,1,比例类,比例类,,30.0856,29.5438,28.7404,29.0496,33.2397,32.9644,32.8949,33.5842,36.8025,36.1683,34.7728,35.5906,39.1599,40.2256,37.395,38.7243,,39.4699,,39.8384,40.8462,38.8224
65,equityRatio,产权比率(负债合计/所有者权益),产权比率(负债合计/所有者权益),2,3,分组/标题,分组/标题,,0.4303,0.4193,0.4033,0.4094,0.4979,0.4917,0.4902,0.5057,0.5823,0.5666,0.5331,0.5526,0.6437,0.673,0.5973,0.632,,0.6521,,0.6622,0.6905,0.6346
66,taTurnover,总资产周转率(次),总资产周转率(次),2,4,周转/次数类,周转/次数类,,0.2863,0.1909,0.099,0.4079,0.3127,0.2179,0.1082,0.4307,0.3148,0.1992,0.1034,0.4922,0.3615,0.2372,0.1128,0.3264,,0.1492,,0.2101,0.323,
67,ARTurnover,应收账款周转率(次),应收账款周转率(次),2,4,周转/次数类,周转/次数类,,8.6793,5.3687,2.571,12.1518,9.3997,5.8261,2.8249,11.4395,7.3246,5.3012,2.6089,13.4063,9.928,5.8051,2.6896,10.9761,,5.0718,,7.2083,10.0153,
