序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,展示口径,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2019年报,2018年报
44,tProfit,利润总额,利润总额,1,0,金额类,亿元,,1391.29,946.59,498.32,1899.76,1543.85,1057.76,525.37,1729.74,1329.55,866.22,432.69,1947.7,1496.93,978.98,459.26,958.21,713.17,449.73,203.18,349.07,856.49273,751.58138
45,incomeTax,所得税费用,所得税费用,2,0,金额类,亿元,,370.68,250.66,132.31,519.94,377.01,260.31,128.11,488.84,352.96,228.74,111.6,530.93,409.35,260.15,116.26,255.14,184.87,116.47,55.13,99.51,246.03814,224.827767
46,othEffectNp,影响净利润的特殊项目,影响净利润的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
47,aeEffectNp,影响净利润的差错金额,影响净利润的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
48,nIncome,净利润,净利润,1,0,金额类,亿元,,1020.61,695.93,366.01,1379.82,1166.84,797.45,397.26,1240.9,976.59,637.48,321.09,1416.77,1087.58,718.83,343.0,703.07,528.3,333.26,148.05,249.56,610.45459,526.753613
49,nIncomeBma,其中:被合并方在合并前实现的净利润,其中:被合并方在合并前实现的净利润,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
50,nIncomeAttrP,归属于母公司所有者的净利润,归属于母公司所有者的净利润,2,0,金额类,亿元,,1019.71,695.33,365.63,1379.36,1166.59,797.31,397.19,1238.43,976.45,637.61,321.13,1417.0,1087.68,718.87,343.01,703.2,528.37,333.29,148.06,249.57,610.453943,526.753614
51,minorityGain,少数股东损益,少数股东损益,2,0,金额类,亿元,,0.9,0.6,0.38,0.46,0.25,0.14,0.07,2.47,0.14,-0.13,-0.04,-0.23,-0.1,-0.04,-0.01,-0.13,-0.07,-0.03,-0.01,-0.01,0.000647,-1e-06
52,goingConcernNi,持续经营净利润,持续经营净利润,2,0,金额类,亿元,,1020.61,695.93,366.01,1379.82,1166.84,797.45,397.26,1240.9,976.59,637.48,321.09,1416.77,1087.58,718.83,343.0,703.07,528.3,333.26,148.05,249.56,610.45459,526.753613
53,quitConcernNi,终止经营净利润,终止经营净利润,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
54,othEffectNpp,影响净利润分配的特殊项目,影响净利润分配的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
55,aeEffectNpp,影响净利润分配的差错金额,影响净利润分配的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
56,EPS,每股收益,每股收益,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
57,basicEps,每股收益-基本,每股收益-基本,2,2,每股类,每股类,,2.14,1.46,0.77,2.9,2.45,1.68,0.84,2.6,2.05,1.34,0.68,3.03,2.34,1.57,0.77,1.57,1.18,0.75,0.33,0.56,1.37,1.18
58,dilutedEps,每股收益-稀释,每股收益-稀释,2,2,每股类,每股类,,2.14,1.46,0.77,2.9,2.45,1.68,0.84,2.6,2.05,1.34,0.68,3.03,2.34,1.57,0.77,1.57,1.18,0.75,0.33,0.56,1.37,1.18
59,othComprIncome,其他综合收益,其他综合收益,1,0,金额类,亿元,,-36.94,-19.7,-3.72,43.86,-30.5,14.68,1.51,30.35,60.61,73.98,-35.6,194.29,226.21,111.62,0.18,-26.47,-2.99,-9.18,16.01,-132.36,15.723953,90.132942
60,othEffectCi,影响综合收益总额的特殊项目,影响综合收益总额的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
61,aeEffectCi,影响综合收益总额的差错金额,影响综合收益总额的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
62,tComprIncome,综合收益总额,综合收益总额,1,0,金额类,亿元,,983.67,676.23,362.29,1423.68,1136.34,812.13,398.77,1271.25,1037.2,711.46,285.49,1611.06,1313.79,830.45,343.18,676.6,525.31,324.08,164.06,117.2,626.178543,616.886555
63,comprIncAttrP,归属于母公司所有者的综合收益总额,归属于母公司所有者的综合收益总额,2,0,金额类,亿元,,982.77,675.63,361.91,1423.22,1136.09,811.99,398.7,1268.78,1037.06,711.59,285.53,1611.29,1313.89,830.49,343.19,676.73,525.38,324.11,164.07,117.21,626.177896,616.886556
64,comprIncAttrMS,归属于少数股东的综合收益总额,归属于少数股东的综合收益总额,2,0,金额类,亿元,,0.9,0.6,0.38,0.46,0.25,0.14,0.07,2.47,0.14,-0.13,-0.04,-0.23,-0.1,-0.04,-0.01,-0.13,-0.07,-0.03,-0.01,-0.01,0.000647,-1e-06
65,othEffectPci,影响综合收益总额分配的特殊项目,影响综合收益总额分配的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
66,aeEffectPci,影响综合收益总额分配的差错金额,影响综合收益总额分配的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
